y                  ,x
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
-902660.1234292905 ,548.6153573947136
